epoch,accuracy,shap_X,shap_Y,shap_A,shap_B,shap_EOS,shap_total
138,0.4766666666666667,0.00010873927855815659,1.3970817255068578e-05,6.587272222646718e-05,0.000267743358584409,8.470037511219646e-05,0.0005410265517362978
139,0.5183333333333333,0.00011225795156362306,1.4487628615757718e-05,7.203298321497579e-05,0.00023742546129275333,8.090765678596679e-05,0.0005171116814730766
140,0.49166666666666664,0.000115539669266986,1.3377514237180113e-05,6.994729316401967e-05,0.00023101406442590277,8.035198534249351e-05,0.000510230526436582
141,0.4766666666666667,0.00012049320658358433,1.4416963091476917e-05,6.5327419250328e-05,0.00025767571192944944,8.422380170185088e-05,0.0005421371025566895
142,0.48833333333333334,0.00012098733979844298,1.3085617224364623e-05,6.857910681962187e-05,0.000247298234356145,8.612812823983397e-05,0.0005360784264384085
143,0.485,0.00012332438183134566,1.1651216560157653e-05,7.270313463420656e-05,0.00024290067051003912,9.055418436028293e-05,0.0005411335878960319
144,0.4766666666666667,0.0001105899711045721,1.4382403970995692e-05,7.48806264428249e-05,0.0002415064478300255,9.177152835916367e-05,0.0005331309777075818
145,0.505,0.00013127164475305043,9.531077961987146e-06,7.600039072399848e-05,0.00021616060600910105,8.67130739633602e-05,0.0005196767934114973
146,0.48333333333333334,0.00012350985867508115,1.3465299804213121e-05,7.793236038075213e-05,0.00023541428274418023,9.045342639653692e-05,0.0005407752280007635
147,0.5316666666666666,0.0001497391182837654,7.100467499252839e-06,8.190683397764657e-05,0.0002127037166701372,9.153267602128099e-05,0.000542982812452083
148,0.4666666666666667,0.0001470704605553355,6.980010860354889e-06,7.976450999204743e-05,0.00022531314168058568,9.22961080086058e-05,0.0005514242310969294
149,0.5033333333333333,0.00014311061246634278,1.1005990281571734e-05,8.074740115359783e-05,0.00022190037411408728,9.416067520978413e-05,0.0005509250532253838
150,0.4866666666666667,0.00014472375320663018,7.274258344329645e-06,8.32701314399553e-05,0.0002114238991388492,9.188550854310778e-05,0.0005385775506728721
151,0.49,0.00015508766643890543,5.467550993839892e-06,8.734722337006439e-05,0.00020774758627098498,9.573017942596585e-05,0.0005513802064997605
152,0.4583333333333333,0.0001507738029069043,5.4828132249693e-06,9.170875390369748e-05,0.000214714431751665,0.0001065446948076516,0.0005692244965948877
153,0.48833333333333334,0.00014233257311436188,1.0703023487251443e-05,9.216832185261917e-05,0.0002182092458527945,0.00010399748595078397,0.0005674106502578109
154,0.47333333333333333,0.0001606755663192922,5.370754486917847e-06,9.186770179012126e-05,0.00020918786840936663,0.00011262437383733678,0.0005797262648430348
155,0.5016666666666667,0.0001565442941573565,9.562559644513788e-06,9.185585563429613e-05,0.00021138620823808708,0.00012348613904845953,0.000592835056722713
156,0.485,0.00015992410455887527,7.54818112720925e-06,9.573329930177955e-05,0.00021854114722233463,0.0001322503002884806,0.0006139970324986793
157,0.475,0.00015518514630740457,6.57412002867743e-06,0.00011032281767859759,0.00023771857397413812,0.0001444951719958342,0.0006542958299846518
158,0.4816666666666667,0.0001541119582195986,1.0616963170226272e-05,0.00011360489276066123,0.00022943512576500345,0.00016473738188014833,0.0006725063217956379
159,0.5266666666666666,0.0001988459728963789,3.4428880551584173e-06,0.00012424398825169192,0.00028822919914623534,0.0003043019307103343,0.000919063979059799
160,0.5416666666666666,0.00017714436414017755,7.469686124952406e-06,0.00012006893494907243,0.00023961360638523506,0.0002352641575398885,0.000779560749139326
161,0.475,0.00018147603289118567,1.8992434184636097e-05,0.00015821915039359056,0.0003214674960055879,0.0003447442127554443,0.0010248993262304445
162,0.53,0.00011011272569487994,7.214985081292172e-05,0.00039603528786338535,0.0009603267125363528,0.0007852418678992224,0.002323866444806762
163,0.9833333333333333,0.0038296225200860298,0.00013390228502060118,0.003625043713029765,0.01876331175760196,0.01459978522476385,0.04095166550050221
164,1.0,0.007548211272908546,0.00014197759926642636,0.005243692315384696,0.021091646600837045,0.01309834323203296,0.04712387102042967
165,1.0,0.004373856674007765,0.00010848309452195753,0.002693756930868277,0.013022242418481343,0.010431869324579469,0.03063020844245881
166,1.0,0.0042544395606510885,0.00013040672763862477,0.004292762469755126,0.01773082216495415,0.011742104512816555,0.03815053543581554
167,1.0,0.004258046501211263,0.00017166755358351374,0.004100312387234751,0.018863587852286437,0.013209343575368371,0.040602957869684334
