train_loss,phi_star
4.598344750404358,3.537708712836189
4.5837228488922115,3.348813662933127
4.586294326782227,3.348813662933127
4.569444270133972,3.814273814516709
4.575405945777893,3.814273814516709
4.566130747795105,3.482312449953067
4.566629605293274,3.482312449953067
4.544868378639221,3.8619321323526137
4.553859076499939,3.8619321323526137
4.5491047906875615,4.253252749239633
4.543418135643005,4.253252749239633
4.533489961624145,3.3073516260609046
4.533568730354309,3.3073516260609046
4.538992652893066,3.9030177750033275
4.524914112091064,3.9030177750033275
4.505367617607117,3.840093613068812
4.528438348770141,3.840093613068812
4.5070999717712406,3.9873861911864514
4.505998754501343,3.9873861911864514
4.510217680931091,4.73288657971822
4.478753585815429,4.73288657971822
4.481919722557068,4.619125135321707
4.472641997337341,4.619125135321707
4.4842549991607665,4.442357018815768
4.47264416217804,4.442357018815768
4.46452160358429,4.061950489458471
4.453249073028564,4.061950489458471
4.457398543357849,4.403453632444902
4.4349658489227295,4.403453632444902
4.450215377807617,4.098695932220991
4.448025631904602,4.098695932220991
4.434261608123779,4.134859664927735
4.453398919105529,4.134859664927735
4.4138080549240115,4.849295198902155
4.427714166641235,4.849295198902155
4.414475612640381,4.703862926179786
4.424170770645142,4.703862926179786
4.392387771606446,4.768401733714104
4.409116253852845,4.768401733714104
4.389564719200134,4.5813112761398385
4.408242321014404,4.5813112761398385
4.413334875106812,4.3467560646009265
4.3970193195343015,4.3467560646009265
4.389955196380615,4.20440273808655
4.395984454154968,4.20440273808655
4.381347889900208,4.323492977317352
4.383167924880982,4.323492977317352
4.365938439369201,4.202961974143275
4.364824123382569,4.202961974143275
4.364607591629028,4.542754386316673
4.3711118268966676,4.542754386316673
4.350864386558532,4.523066134969381
4.362594420909882,4.523066134969381
4.322671322822571,4.370634203611726
4.344061050415039,4.370634203611726
4.343776545524597,4.804227019481911
4.319111468791962,4.804227019481911
4.317009015083313,4.5147733824818745
4.325910840034485,4.5147733824818745
4.311453089714051,4.7796532210552325
4.327953839302063,4.7796532210552325
4.322091863155365,4.893842875227407
4.310154209136963,4.893842875227407
4.313953332901001,4.720348108647484
4.316748833656311,4.720348108647484
4.304053676128388,4.575499635718424
4.327130150794983,4.575499635718424
4.29993166923523,4.636806317422727
4.3028199052810665,4.636806317422727
4.301693754196167,4.916789447107004
4.289666838645935,4.916789447107004
4.289988024234772,4.475368203597988
4.279684293270111,4.475368203597988
4.288493731021881,4.916656195920096
4.290771136283874,4.916656195920096
4.281286947727203,4.571828603919709
4.267402322292328,4.571828603919709
4.246569638252258,4.747031962234102
4.270765109062195,4.747031962234102
4.270651512145996,4.848501660778899
4.259729769229889,4.848501660778899
4.256612815856934,4.592794792442028
4.240703086853028,4.592794792442028
4.248782932758331,4.695762452953753
4.247663831710815,4.695762452953753
4.226467909812928,5.161109361338564
4.241083924770355,5.161109361338564
4.246235508918762,4.887965754972535
4.233354609012604,4.887965754972535
4.215902149677277,4.85781323882442
4.2204097509384155,4.85781323882442
4.211792557239533,4.944631004501625
4.213399538993835,4.944631004501625
4.209902510643006,4.729593708781196
4.202970895767212,4.729593708781196
4.194590513706207,4.35923629672701
4.184802346229553,4.35923629672701
4.19512033700943,4.92371175955487
4.197578423023224,4.92371175955487
4.194074327945709,4.68481648188631
4.184724843502044,4.68481648188631
4.17952219247818,4.7809516491327155
4.175072088241577,4.7809516491327155
4.179280292987824,4.874341411357438
4.175656092166901,4.874341411357438
4.17378497838974,4.7328320387918
4.154041013717651,4.7328320387918
4.173441157341004,4.692047697228825
4.148195173740387,4.692047697228825
4.158653471469879,4.498536859239592
4.146631741523743,4.498536859239592
4.160596570968628,4.8311907621048205
4.13750841140747,4.8311907621048205
4.153119301795959,4.897346806347535
4.156937208175659,4.897346806347535
4.161548852920532,5.232044524466349
