state,phi_star
0010101111011000,4.470397885526912
0100010001010110,4.470235196970922
0000001110110110,4.470045713245642
0011111010101010,4.469769295645294
0000011100010000,4.469119658090794
1011011100000110,4.468775982257921
1001010111010000,4.468602233522551
1010111110011011,4.468475893598686
0011000001001111,4.46766613354645
0000011100000001,4.4674440439461085
1100111110011000,4.46708299937716
1001111101111001,4.4670634401595795
0001011110110110,4.466865889146087
1010010110100110,4.466847938847472
1100110011001010,4.466356136896926
0000011010111011,4.466329821024216
0010100101011010,4.4663094246198565
0110001100100011,4.466297734652574
0000011011101101,4.466175188182461
0001011100100110,4.465333114475116
1100100101010110,4.464745441936897
1001000110001110,4.4646957288003
0000000111110010,4.464633822188171
1101110010111010,4.464598531146596
1010100100000110,4.464115544062592
0010011110100001,4.464088971068827
0011110011110010,4.463328601215057
0101000100000110,4.46287959103276
0000110011100101,4.462460859015559
1000010110010011,4.462203824528622
0000000110110110,4.462013991754459
0101001001101111,4.461827820943316
1001000101000110,4.461363076724676
1111100111010011,4.46081386182604
1101100101001001,4.460506727615934
0101010101011100,4.460267378995987
1000101111110000,4.460029757389991
1001100110101000,4.459236712485314
1000000111110011,4.459176030545244
0110010001100111,4.459063499653965
0010011011110011,4.458975063494374
0111110110010001,4.458877191011217
0100111011000111,4.458558516181922
0001011100100001,4.458253660059409
1100101100010110,4.458167072581487
0100100011101011,4.45791231962333
1100101011011111,4.457846577421961
0001111001010111,4.457302725881343
1001011100011101,4.456654616421304
0111010101100100,4.456605194236814
1100101100101101,4.456447031708862
0011110010001101,4.456375694554788
0000011100011110,4.456359509756193
0111110001111100,4.4560822267326445
1100011100110100,4.455598649089767
0010001111100100,4.455537254166484
1110011111100011,4.455521470417743
0010001011100110,4.454901780348529
1000110100110100,4.4541853816452
1100001101000110,4.454080737058471
1100100011111110,4.453874253491787
0000110101111110,4.453466473353945
1100110110011001,4.453415915340457
0001001111000110,4.453224628198541
0010011101101100,4.453133354273392
1000111011010000,4.452783765303635
1001010101100000,4.452755791509155
0001011011000111,4.452551339840809
0100101010010011,4.452373324432537
0101001101111011,4.452095961224739
0001100101000001,4.45191664032256
0111000110100110,4.4516211630623275
0000111110101101,4.451524508861121
0100010100001011,4.450138168734901
1010011111100111,4.4497836260109676
0011010101010011,4.449736743798699
0100100011010100,4.449305269719819
1110010101000011,4.448909963843002
0011111000101101,4.448652816061581
0001110011010010,4.448302375195809
0110010110011110,4.447310056464145
1100110110110110,4.447010742036181
1011110101111101,4.446959923437327
0010011001000001,4.446735761969018
0110110011000101,4.446695886768426
0100010010101110,4.446171732958026
1101011111010110,4.446024677359813
0001111110110111,4.445820359622612
1001011100010011,4.445635295747329
0101111101010010,4.44544731964382
0001011101000010,4.445044505331016
1000101111000001,4.443438712279454
1011111111100000,4.44310466704287
0110110010001110,4.442710958353986
0010110011101000,4.4425124869139605
1010100101101011,4.441331651780265
0111000100001101,4.441270694650629
0011110000001100,4.440820828736554
0100110011110011,4.440470844873842
0001110110111001,4.440445740483705
0011110011111011,4.4404314669178895
1100110100010100,4.439309899603455
1101111001001111,4.439083848428863
0011101110111101,4.439060574213954
0111010110010110,4.438888859263776
0100110001001111,4.43854438851324
1000010101000111,4.436947617593337
1001010111011110,4.435818262977591
1001110111110101,4.435747323525133
0001001111010011,4.43572001200379
1011110111000011,4.435273127308237
0001111001001011,4.4337482637233805
0101100101101011,4.433398222350178
